200,8,4,25,2
1,9,121,62,117,193,319,246
117,193,319,246,5,63,247,116
62,121,122,61,246,319,320,245
246,319,320,245,116,247,248,115
61,122,123,60,245,320,321,244
245,320,321,244,115,248,249,114
60,123,124,59,244,321,322,243
244,321,322,243,114,249,250,113
59,124,125,58,243,322,323,242
243,322,323,242,113,250,251,112
58,125,126,57,242,323,324,241
242,323,324,241,112,251,252,111
57,126,127,56,241,324,325,240
241,324,325,240,111,252,253,110
56,127,128,55,240,325,326,239
240,325,326,239,110,253,254,109
55,128,129,54,239,326,327,238
239,326,327,238,109,254,255,108
54,129,130,53,238,327,328,237
238,327,328,237,108,255,256,107
53,130,131,52,237,328,329,236
237,328,329,236,107,256,257,106
52,131,132,51,236,329,330,235
236,329,330,235,106,257,258,105
51,132,133,50,235,330,331,234
235,330,331,234,105,258,259,104
50,133,134,49,234,331,332,233
234,331,332,233,104,259,260,103
49,134,135,48,233,332,333,232
233,332,333,232,103,260,261,102
48,135,136,47,232,333,334,231
232,333,334,231,102,261,262,101
47,136,137,46,231,334,335,230
231,334,335,230,101,262,263,100
46,137,138,45,230,335,336,229
230,335,336,229,100,263,264,99
45,138,139,44,229,336,337,228
229,336,337,228,99,264,265,98
44,139,140,43,228,337,338,227
228,337,338,227,98,265,266,97
43,140,141,42,227,338,339,226
227,338,339,226,97,266,267,96
42,141,142,41,226,339,340,225
226,339,340,225,96,267,268,95
41,142,143,40,225,340,341,224
225,340,341,224,95,268,269,94
40,143,144,39,224,341,342,223
224,341,342,223,94,269,270,93
39,144,38,4,223,342,222,120
223,342,222,120,93,270,92,8
9,10,145,121,193,194,343,319
193,194,343,319,63,64,271,247
121,145,146,122,319,343,344,320
319,343,344,320,247,271,272,248
122,146,147,123,320,344,345,321
320,344,345,321,248,272,273,249
123,147,148,124,321,345,346,322
321,345,346,322,249,273,274,250
124,148,149,125,322,346,347,323
322,346,347,323,250,274,275,251
125,149,150,126,323,347,348,324
323,347,348,324,251,275,276,252
126,150,151,127,324,348,349,325
324,348,349,325,252,276,277,253
127,151,152,128,325,349,350,326
325,349,350,326,253,277,278,254
128,152,153,129,326,350,351,327
326,350,351,327,254,278,279,255
129,153,154,130,327,351,352,328
327,351,352,328,255,279,280,256
130,154,155,131,328,352,353,329
328,352,353,329,256,280,281,257
131,155,156,132,329,353,354,330
329,353,354,330,257,281,282,258
132,156,157,133,330,354,355,331
330,354,355,331,258,282,283,259
133,157,158,134,331,355,356,332
331,355,356,332,259,283,284,260
134,158,159,135,332,356,357,333
332,356,357,333,260,284,285,261
135,159,160,136,333,357,358,334
333,357,358,334,261,285,286,262
136,160,161,137,334,358,359,335
334,358,359,335,262,286,287,263
137,161,162,138,335,359,360,336
335,359,360,336,263,287,288,264
138,162,163,139,336,360,361,337
336,360,361,337,264,288,289,265
139,163,164,140,337,361,362,338
337,361,362,338,265,289,290,266
140,164,165,141,338,362,363,339
338,362,363,339,266,290,291,267
141,165,166,142,339,363,364,340
339,363,364,340,267,291,292,268
142,166,167,143,340,364,365,341
340,364,365,341,268,292,293,269
143,167,168,144,341,365,366,342
341,365,366,342,269,293,294,270
144,168,37,38,342,366,221,222
342,366,221,222,270,294,91,92
10,11,169,145,194,195,367,343
194,195,367,343,64,65,295,271
145,169,170,146,343,367,368,344
343,367,368,344,271,295,296,272
146,170,171,147,344,368,369,345
344,368,369,345,272,296,297,273
147,171,172,148,345,369,370,346
345,369,370,346,273,297,298,274
148,172,173,149,346,370,371,347
346,370,371,347,274,298,299,275
149,173,174,150,347,371,372,348
347,371,372,348,275,299,300,276
150,174,175,151,348,372,373,349
348,372,373,349,276,300,301,277
151,175,176,152,349,373,374,350
349,373,374,350,277,301,302,278
152,176,177,153,350,374,375,351
350,374,375,351,278,302,303,279
153,177,178,154,351,375,376,352
351,375,376,352,279,303,304,280
154,178,179,155,352,376,377,353
352,376,377,353,280,304,305,281
155,179,180,156,353,377,378,354
353,377,378,354,281,305,306,282
156,180,181,157,354,378,379,355
354,378,379,355,282,306,307,283
157,181,182,158,355,379,380,356
355,379,380,356,283,307,308,284
158,182,183,159,356,380,381,357
356,380,381,357,284,308,309,285
159,183,184,160,357,381,382,358
357,381,382,358,285,309,310,286
160,184,185,161,358,382,383,359
358,382,383,359,286,310,311,287
161,185,186,162,359,383,384,360
359,383,384,360,287,311,312,288
162,186,187,163,360,384,385,361
360,384,385,361,288,312,313,289
163,187,188,164,361,385,386,362
361,385,386,362,289,313,314,290
164,188,189,165,362,386,387,363
362,386,387,363,290,314,315,291
165,189,190,166,363,387,388,364
363,387,388,364,291,315,316,292
166,190,191,167,364,388,389,365
364,388,389,365,292,316,317,293
167,191,192,168,365,389,390,366
365,389,390,366,293,317,318,294
168,192,36,37,366,390,220,221
366,390,220,221,294,318,90,91
11,2,12,169,195,118,196,367
195,118,196,367,65,6,66,295
169,12,13,170,367,196,197,368
367,196,197,368,295,66,67,296
170,13,14,171,368,197,198,369
368,197,198,369,296,67,68,297
171,14,15,172,369,198,199,370
369,198,199,370,297,68,69,298
172,15,16,173,370,199,200,371
370,199,200,371,298,69,70,299
173,16,17,174,371,200,201,372
371,200,201,372,299,70,71,300
174,17,18,175,372,201,202,373
372,201,202,373,300,71,72,301
175,18,19,176,373,202,203,374
373,202,203,374,301,72,73,302
176,19,20,177,374,203,204,375
374,203,204,375,302,73,74,303
177,20,21,178,375,204,205,376
375,204,205,376,303,74,75,304
178,21,22,179,376,205,206,377
376,205,206,377,304,75,76,305
179,22,23,180,377,206,207,378
377,206,207,378,305,76,77,306
180,23,24,181,378,207,208,379
378,207,208,379,306,77,78,307
181,24,25,182,379,208,209,380
379,208,209,380,307,78,79,308
182,25,26,183,380,209,210,381
380,209,210,381,308,79,80,309
183,26,27,184,381,210,211,382
381,210,211,382,309,80,81,310
184,27,28,185,382,211,212,383
382,211,212,383,310,81,82,311
185,28,29,186,383,212,213,384
383,212,213,384,311,82,83,312
186,29,30,187,384,213,214,385
384,213,214,385,312,83,84,313
187,30,31,188,385,214,215,386
385,214,215,386,313,84,85,314
188,31,32,189,386,215,216,387
386,215,216,387,314,85,86,315
189,32,33,190,387,216,217,388
387,216,217,388,315,86,87,316
190,33,34,191,388,217,218,389
388,217,218,389,316,87,88,317
191,34,35,192,389,218,219,390
389,218,219,390,317,88,89,318
192,35,3,36,390,219,119,220
390,219,119,220,318,89,7,90
